2025-11-18T20:00:15.049130   f:437.76993784560705 MHz.   payload(base32):QKTYAAIAO7XCBRABEMASGAJXDP2QAGYAAEAFAAADABEQASIAWUALKAA2AAEQANQARQAAAAACAABAAAYAAAAAAA3X5YQMIACGABCP7FPSEX7ZG57OEDCAAAIAAAAACAACAAAAGTAAI4AEX4ML4MZSBARPQU======   P_pl:2.4468830409914204e-06   P_noise:3.95701e-08
2025-11-18T20:00:15.194383   f:437.77004444449284 MHz.   payload(base32):QKTYAAIBO7XCBRAAAAN6CAABPLCAAABSNP7QCKQEAAAACTQAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAACAIBAEAQCAAAAF364IGEAAAHX57YAAGM362LUUJWQALLFBDQ47QAAAAQAAACNU3AAAAAAAAQAAAEAIAAAAAAO7XCBRABAEAQCAAAAAAACE47AAAAAALX5YQMGAFPINIPAWZGAQ======   P_pl:1.7007542074506938e-06   P_noise:3.95701e-08
2025-11-18T20:01:15.047657   f:437.7674089609831 MHz.   payload(base32):QKTYAAIAO7XCCAABEMASGAJXDPRAAGYAAEAE2AADAA5QBAYAWUALKAA2AAEQANQAWEAAAAABAAAQAAYAAAAAAA3X5YQQAAB7AA7P7EPR6T7ZC57OEEAAAAIAAAAACAACAAAAGTAAIEAEJWBKXDJDFRLEKQ======   P_pl:6.815982707340324e-07   P_noise:2.5096599999999998e-08
2025-11-18T20:01:15.193389   f:437.767495300781 MHz.   payload(base32):QKTYAAIBO7XCCAAAAAN6EAABPKDAAABSNP7QCKQEAAAACTQAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAACAIBAEAQCAAAAF364IIAAAAHX572AAGM362LUUKJ4ALLFBDQ47QAAAAQAAACNZWAAAAAAAAQAAAEAQAAAAAAO7XCCAABAEAQCAAAAAAACE47AAAAAALX5YQP6BJMEDRRUEQ6V4======   P_pl:3.601300343316289e-07   P_noise:2.50966e-08
2025-11-18T20:02:15.049939   f:437.76617553233734 MHz.   payload(base32):QKTYAAIAO7XCCPABJEAT6AKKDPRAAGYAAEAFAAADABDAASYAWIALEAA2AAEQANQART776AAAAAAAAAQAAAAAAA3X5YQTYABZAA377DYIA77ZG57OEE6AAAIAAAAACAACAAAAGTIAHIAD5SN2KRLBJ5EFNU======   P_pl:1.1830625452812202e-06   P_noise:4.24304e-08
2025-11-18T20:02:15.195220   f:437.7661926792515 MHz.   payload(base32):QKTYAAIBO7XCCPAAAAN6CAABPJDQAABSNP7QCKQEAAAACTQAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAACAIBAEAQCAAAAF364IJ4AAAHX574AAGM362LUUK5IALLFBDQ47QAAAAQAAACN6RAAAAAAAAQAAAEAYAAAAAAO7XCCPABAEAQCAAAAAAACE47AAAAAALX5YQTXRV2WF4HX5N4UM======   P_pl:8.624784506939372e-07   P_noise:4.24304e-08
2025-11-18T20:03:15.060821   f:437.765460862224 MHz.   payload(base32):QKTYAAIAO7XCC6ACCIA36AM3DPRAAGYAAEAFAAADAA5QASIAREAISAAXAAEQANQART776AAAAAAAAAIAAAAAAA3X5YQXQABSAAYP7DPR6L7Y257OEF4AAAIAAAAACAACAAAAGTIAGQADOKDS2MBMUPAC6Y======   P_pl:1.337078093422307e-06   P_noise:4.12207e-08
2025-11-18T20:03:15.206151   f:437.76563506213034 MHz.   payload(base32):QKTYAAIBO7XCC6AAAAN6EAABPIEQAABSNP7QCKQEAAAACTQAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAACAIBAEAQCAAAAF364ILYAAAHX576AAGM362LUULQUALLFBDQ47QAAAAQAAACODMAAAAAAAAQAAAEBAAAAAAAO7XCC6ABAEAQCAAAAAAACE47AAAAAALX5YQXOMLNX6HEBDBFAA======   P_pl:1.284570811541271e-06   P_noise:4.12207e-08
2025-11-18T20:04:15.056831   f:437.76531358969055 MHz.   payload(base32):QKTYAAIAO7XCDNAQDYH6QD3MDQVAAGYAAEAE2AADABDAA2YA5AAOQAEYAAEQBNQAUX774AAAAAAAAAIAAAAAAA3X5YQ3IABMAAVP7CQOHL7YW57OEG2AACQAAAAACAACAAAAGTQAFUADD6BWLFSYZL2RVA======   P_pl:5.61041459485224e-07   P_noise:3.16332e-08
2025-11-18T20:04:15.203552   f:437.7653941725728 MHz.   payload(base32):QKTYAAIBO7XCDNAAAAN6CAABPHFQAABSNP7QCKQEAAAACTQAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAACAIBAEAQCAAAAF364INUAAAHX6AAAAGM362LUUMEAALLFBDQ47QAAAAQAAACOIHAAAAAAAAQAAAEBIAAAAAAO7XCDNABAEAQCAAAAAAACE47AAAAAALX5YQ3G2IHKC3EXGV7PM======   P_pl:6.798394850255661e-07   P_noise:3.16332e-08
2025-11-18T21:28:14.959016   f:437.7851916533739 MHz.   payload(base32):QKTYAAIAO7XDKZABEMASGAJXDQEAAGYAAEAE2AADABNQATIAV4AK6AAXAAEQANQARQAAIAAGAADAACAAAAAAAA3X5Y2WIADRABYP7DX7LD7ZE57OGVSAAAIAAAAACAACAAAAGSQAOMAHOAZBDKYEEDYKLY======   P_pl:1.764084489037178e-07   P_noise:1.99046e-08
2025-11-18T21:28:15.105327   f:437.78528970044056 MHz.   payload(base32):QKTYAAIBO7XDKZAAAAN6CAABMVSQAABSNP7QCKQEAAAACTQAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAACAIBAEAQCAAAAF364NLEAAAHX6FIAAGM362LUV67QALLFBDQ47QAAAAQAAAC27DAAAAAAAAQAAAEWIAAAAAAO7XDKZABAEAQCAAAAAAACE47AAAAAALX5Y2WG4FEWTGBCQXWJE======   P_pl:3.819595203798393e-07   P_noise:1.99046e-08
2025-11-18T21:29:14.921904   f:437.7848727041301 MHz.   payload(base32):QKTYAAIAO7XDLIABEMASGAJXDP7AAGYAAEAE2AADABTAA2AAV4AK6AAXAAEQANQATEAAGAAFAADAABYAAAAAAA3X5Y22AADLABU77EQOTH7ZI57OGWQAAAIAAAAACAACAAAAGSYANQAHC7KCYLBXPRBSCA======   P_pl:1.6254200285986654e-07   P_noise:2.5151131077216397e-08
2025-11-18T21:29:15.067878   f:437.78487012414547 MHz.   payload(base32):QKTYAAIBO7XDLIAAAAN6EAABMUTQAABSNP7QCKQEAAAACTQAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAACAIBAEAQCAAAAF364NNAAAAHX6FKAAGM362LUV7S4ALLFBDQ47QAAAAQAAAC3D6AAAAAAAAQAAAEWQAAAAAAO7XDLIABAEAQCAAAAAAACE47AAAAAALX5Y2Z7P7VAZFKBPA5DM======   P_pl:1.8990459532505478e-08   P_noise:2.858463126369613e-08
2025-11-18T21:30:14.922200   f:437.7840429614517 MHz.   payload(base32):QKTYAAIAO7XDLXABEMASGAJXDQEAAGYAAEAE2AADAA7AASIAV4AK6AAXAAEQANQARQAAGAAFAACQABQAAAAAAA3X5Y25YADEABR77EQOXH7ZM57OGXOAAAIAAAAACAACAAAAGSYAMYAGVYUQ2JYU725VX4======   P_pl:8.053638226882746e-07   P_noise:1.79099e-08
2025-11-18T21:30:15.067928   f:437.78412810639276 MHz.   payload(base32):QKTYAAIBO7XDLXAAAAN6EAABMTUQAABSNP7QCKQEAAAACTQAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAACAIBAEAQCAAAAF364NO4AAAHX6FMAAGM362LUWAGIALLFBDQ47QAAAAQAAAC3IZAAAAAAAAQAAAEWYAAAAAAO7XDLXABAEAQCAAAAAAACE47AAAAAALX5Y25XOBYLYSZQUBQII======   P_pl:1.1902582322863403e-06   P_noise:1.79099e-08
2025-11-18T21:31:14.920065   f:437.7824570278028 MHz.   payload(base32):QKTYAAIAO7XDMGABEMASGAJXDP2QAGYAAEAFAAADABFQBAYAWIALEAAXAAEQANQAWEAAEAAEAACAABQAAAAAAA3X5Y3BQAC6ABOP7EIN3D7ZO57OGYMAAAIAAAAACAACAAAAGSYAL4AGHGV2XN2Y2CVICE======   P_pl:2.275817814108675e-06   P_noise:2.3101e-08
